id,text,label,Comments
29,"Han mener at flere bytter vil gjøre det mulig å fordele kampbelastningen bedre, og bruker sin egen midtbane som et eksempel. Der sliter både N’Golo Kanté og Ruben Loftus-Cheek med mindre skader. ",Statement,
30,"– Én positiv test på midten kan være nok til at alt kollapser igjen, for da må Kovacic spille 90 minutter igjen. Fra hvilket grunnlag? Ut av ingenting. Du risikerer skader – det er det vi gjør for øyeblikket. Jeg kan ikke si mer og jeg kan ikke si at vi er forbi coronatrusselen, sier Tuchel. ",Quote,
31,"Flere Chelsea-spillere – både fullvaksinerte og uvaksinerte – har i løpet av desember blitt smittet av coronaviruset. Etter at Chelsea vant 3–1 borte mot Aston Villa på andre juledag, innrømmet også Tuchel at han hadde gitt mer spilletid til både Romelu Lukaku og Callum Hudson-Odoi enn hva klubbens leger og fysiske apparat anbefalte.",Illness,
32,"– Vi ga ham 45 minutter ute på banen, noe som var med enn både det fysiske og medisinske apparatet anbefalte. Men vi tenkte at vi kunne ta den risikoen og være mer offensive med ham, sa Tuchel ifølge BBC om Lukaku, som kom inn og scoret i den andre omgangen mot Aston Villa. ",Quote,
33,Lillestrøm-toppscorer Thomas Lehne Olsen er klar for Dubai og klubben Shabab Al-Ahli Club.,Transfer,
34,Det bekrefter klubbene.,Non-informative,
35,Jan Åge Fjørtoft (54) husker godt da han ble lagkamerat med Hugo Maradona (52) i Rapid Wien. I dag døde lillebroren til Diego i sitt hjem i Napoli. ,Information,
36,"– Hugo var bare en ung mann, så det er veldig trist at han er død. Jeg husker veldig godt at han var innom Rapid Wien, sier Fjørtoft til VG. ",Quote,
37,(Newcastle United – Manchester United 1–1) Tidligere Manchester United-back Gary Neville gir sitt gamle lag hard medfart og sier de er en gjeng med sutrepaver.,Statement,
38,"– De løper og sutrer på hverandre. De er en gjeng med sutrepaver. Bare se på dem på banen, armene er i været og de klager på alt. Ærlig talt, det var helt sjokkerende i første omgang.",Quote,
39,"Eddie Howe (44) har fått en vanskelig start på livet som Newcastle-manager. Mandag venter Manchester United, som har begynt å finne tilbake til gamle takter etter sparkingen av Ole Gunnar Solskjær.",Information,
40,Her er mandagens oddstips!,Non-informative,
41,"Starten på 2021/22-sesongen ble turbulent for Manchester United. Laget slet defensivt og holdt nullen kun to ganger på 17 kamper, før Ole Gunnar Solskjær fikk sparken etter tapet mot Watford 20. november. ",Summary,
42,"Siden hadde først Michael Carrick ansvaret i tre kamper, før Ralf Rangnick kom inn. Tyskeren skal lede Manchester United ut sesongen, og etter Solskjærs sparking står Manchester United med fire seirer og to uavgjort, avansement i Champions League. De har også holdt nullen i tre av seks kamper. ",Information,
43,"Eddie Howe tok over som Newcastle-manager den 8. november, og i serien har det kun blitt fem poeng på syv kamper. Dermed har også Newcastle holdt seg på nedrykksplass under Howes korte tid i klubben.",Information,
44,"På pressekonferansen før de to lagene skal møtes mandag kveld, tok Howe seg tid til å skryte av Rangnick. ",Information,
45,"– Jeg vet at han har hatt stor innflytelse på noen aktive og suksessfulle managere i Premier League. Han er blant de managerne som har endret en kultur. Han har kommet med mange nye ideer, som mange har fulgt etter, sier Howe. ",Quote,
46,"Rangnick har tidligere fått kallenavnet «Gudfaren av Gegenpress», og har inspirert blant andre Liverpool-manager Jürgen Klopp, Chelsea-manager Thomas Tuchel og Southampton-manager Ralph Hasenhüttl.",Information,
47,"– Han er definitivt en pionér innenfor fotballen. Han er en person som jeg har hatt et par samtaler med i løpet av årene som har gått, og han er en person jeg har mye respekt for og som jeg beundrer, sier Howe. ",Quote,
48,"Newcastle-manageren mener Rangnick vil gjøre umiddelbare endringer i Manchester-klubben, og sier han allerede har sett litt av det under Manchester Uniteds første kamper under Rangnick. ",Statement,
49,"Etter at Manchester United ble rammet av et coronautbrudd tidligere i desember, har ikke laget spilt kamp siden 11. desember. For øyeblikket er kun en skadet Paul Pogba utilgjengelig, noe som gjør at Manchester United har kunnet legge ned en god jobb på treningsfeltet inn mot romjulskampene. ",Information,
50,"Laget trener med mye energi, og med høyt tempo. Nå må vi vise det også i de store kampene, sier Manchester United-keeper David de Gea til klubbens hjemmeside. ",Quote,
51,"– Det er veldig intenst, hver eneste treningsøkt, hvert eneste øyeblikk med ham (Rangnick) er intenst, sier De Gea. ",Quote,
52,Juventus-legenden Gianluigi Buffon mener Cristiano Ronaldos inntreden i Torino ble starten på slutten for lagfølelsen.,Statement,
53,"– Jeg jobbet med Ronaldo i to år da jeg kom tilbake og vi gjorde det bra sammen, men jeg tror Juventus mistet lagets DNA, sier Buffon i et intervju med amerikanske TUDN.",Quote,
54,"(Manchester City – Leicester 6–3) Nok en gang gikk Manchester City seirende av banen i Premier League. Men etter å ha ledet stort, ble det en berg-og- dalbane for hjemmelaget.",Summary,
55,– Det er skuffende. Vi måtte bare kontrollere kampen. Det skulle være «enkel» fotball. Med 4-0- ledelse må du drepe kampen. Leicester har noen virkelig gode spillere. De ble ikke motløse og fortsatte.,Quote,
56,En julestatistikk sier at det er 50 prosent sjanse for at Manchester City vinner ligagull. Men det kan neppe kalles et juleunder om det slår til. ,Information,
57,"Siden øverste nivå i engelsk fotball fikk navnet Premier League i 1992, så har laget som leder Premier League når 2. juledagskampene spilles vunnet ligagull halvparten av gangene. ",Information,
58,"Det hevdes at det ikke blir jul i England før «alle» har postet listen med kampene fra Boxing Day 1963 på sosiale medier. Og ja, det var definitivt den mest ekstreme av det ekstreme på denne dagen: 66 scoringer på 10 kamper ...",Statement,
59,"Hvis 16. mai er fotballens festdag i Norge, så har England sin «Boxing Day». 26. desember, da «alle» i England har fri og fotballen står enda sterkere i fokus enn ellers i sesongen.",Information,
60,(Liverpool - Chelsea 0–0) Det ble ingen stor forestilling mellom de to gigantene på Anfield. Isteden var det utenomsportslige tilrop som tok oppmerksomheten.,Summary,
61,"Etter en snau halvtime i det som var en tafatt førsteomgang på Merseyside, brøt stadions speaker inn. Klubben ville at publikum stoppe med homofobiske tilrop, som ofte har vært en tendens når disse to lagene har møttes.",Information,
62,Speakeren varslet at klubben kommer til å følge opp opptrinnet og at de hadde overvåkingsbilder av hvem som hadde ropt hva.,Information,
63,Hør hva speakeren sa her:,Clickbait,
64,"Under fredagens pressekonferanse i forkant av oppgjøret sa Liverpool-manager Jürgen Klopp at han ville ha en slutt på supportersanger med homofobiske tilrop. Manageren roste samtidig Liverpool-supporterne, som han mente hadde tatt grep for å slutte med tilropene.",Statement,
65,"– Nå som Chelsea er vår motstander, så gir det mening at jeg også viser takknemlighet til våre supportere for arbeidet de har gjort med å stoppe supportersanger som ikke passer inn med byen vår, vår klubb og våre folk, sa Klopp.",Quote,
66,"I forrige uke meldte det engelske fotballforbundet, FA, at tilropene som inneholdt homofobiske fraser, ville bli straffet.",Information,
67,"I det som til slutt ble en målløs poengdeling, så det derimot tidlig ut til å bli fartsfylt på Anfield.",Summary,
68,"Allerede etter to minutter slapp hjemmepublikummet med skrekken. Kai Havertz spaserte inn en retur etter at Thiago Silva traff stolpen. En utspilt Alisson kunne bare se at ballen seilte inn i nettmaskene. Men hjemmelaget hadde marginene med seg og ble «reddet» av VAR, som grep inn da tyske Havertz viste seg i å være noen små centimetere offside i det han sendte av gårde avslutningen.",Var,
77,"I øyeblikket skiller det ni poeng opp til Newcastle på 4-plass. Liverpool har riktig nok én kamp til gode på «The Magpies». Poengfangsten for Liverpool etter 19 serierunder lyder 29. Til sammenligning hadde Klopps menn 41 poeng på samme tidspunkt forrige sesong. Da ble de til slutt nummer to, ett poeng bak Manchester City, som vant ligaen på 93 poeng.",Information,
78,"– Avstanden blir større. Vi mister poeng vi ikke skal. Men nå må vi foksuere på å komme tiblkae til hva et Liverpool-lag skal se ut som. Vi har mistet det i det siste. Vi må få tilbake selvtilliten. Det hjelper på at noen av de skadde spillerne er påvei tilbake. Nå handler alt om små steg i riktig retning. Det gjorde vi i dag, sier Robertson til Viaplay.",Quote,
79,Mangeårige Liverpool-kaptein Steven Gerrard er klar på at det er lite som stemmer for klubben i hans hjerte for øyeblikket.,Statement,
80,"– Akkurat nå mangler Liverpool kvalitet og «faren» de har hatt i spillet under Jürgen Klopp, var Liverpool-legende Gerrards oppsummering overfor BT Sports etter kampslutt.",Quote,
81,"Han forsøkte å kjøpe Chelsea, men kom ikke i mål. Nå prøver han seg på Manchester United. Men hvem er mangemilliardæren Sir Jim Ratcliffe?",Information,
82,"En av Storbritannias rikeste, som attpåtil har vært en Manchester United-fan hele sitt 70-årige liv, er interessert i kjøpe klubben.",Rumor,
83,Med høye krøller og ryggsekk så Dan Eggen ut som han var på interrail da han plutselig dukket opp på landslagssamling. Men den danskfødte midtstopperen lurte alle – og ble en av Drillos mest betrodde menn.,Information,
84,Historien om Dan Eggen (53) er fortellingen om hvordan det finnes flere veier til både proffliv og landslagsspill.,Information,
85,(Watford - Tottenham 0–1) Tottenham stanget og stanget. Og til slutt stanget midtstopper Davinson Sanchez inn det avgjørende målet på overtid.,Goal,
86,Dermed står Tottenham med fem seirer og tre uavgjort på åtte seriekamper etter at Antonio Conte tok over som manager.,Previous results,
88,Tre minutter på overtid pirket Rodri inn vinnermålet fra fem meter etter å ha plukket opp en avslutning fra Aymeric Laporte. ,Goal,
89,Manchester City har i lengre tid jaktet etter en stjernespiss. Romelu Lukaku (28) innrømmer at han avviste et lukrativt tilbud fra City ett år før han dro fra Inter. ,Statement,
90,Her er lørdagens oddstips!,Non-informative,
91,Romelu Lukaku har skapt overskrifter etter at han tidligere i desember gjorde et lengre intervju med Sky Sports Italia. Der har han blant annet snakket om kjærligheten for Inter og misnøye rundt egen situasjon i Chelsea. ,Non-informative,
92,"I intervjuet avslører han også at Manchester City ønsket å kjøpe ham. Lukaku sier at forespørselen kom etter Lukakus første sesong i Inter, noe som vil si sommeren 2020. ",Rumor,
93,Lukaku sier at tilbudet fra Manchester City var høyere enn tilbudet som kom fra Chelsea året etter.,Statement,
94,"– Jeg ville ikke. Jeg tenkte at det ikke var tiden for å gjøre det. Det var det første året, og jeg ønsket ikke å dra fra Inter. Jeg ønsket å gjøre noe bra for Inter, for Inter reddet karrieren min, sier Lukaku, som dro til Italia etter å ha havnet i kulden hos Ole Gunnar Solskjær i Manchester United. ",Quote,
95,"Den belgiske stjernespissen er klar på at han ønsket å bli i Inter noen år til, og sier at det ikke var et spørsmål om penger. 28-åringen nevner også de tre klubbene han mener alle spillere drømmer om:",Statement,
96,"– Real Madrid, Barcelona og Bayern München. Alle spillere har en drøm om å kunne ikle seg trøyen til én av disse tre klubbene, sier Lukaku. ",Quote,
97,"Også sommeren 2021 var Manchester City i markedet etter en toppspiss. Da var det Harry Kane som var nær en overgang, men Tottenham ønsket ikke å selge spissen. ",Rumor,
98,"Selv uten en rendyrket spiss, har Manchester City klart seg meget bra. For øyeblikket leder de Premier League, åtte poeng foran Lukakus Chelsea, og har stø kurs mot nok et seriegull. ",Table,
101,Nå har Chelsea 10 og Liverpool 11 poeng opp til Pep Guardiolas himmelblåkledde menn på tabelltoppen (Liverpool har én kamp mindre spilt enn de to andre).,Table,
102,(Getafe-Real Madrid 1–0) Tabelltopp Real Madrid gikk på sitt andre ligatap i sesongen. Det skjedde i byderbyet mot Getafe.,Summary,
103,"Tyrkeren Enes Ünal satte inn seiersmålet helt i starten av kampen. Han knabbet ballen fra Éder Militão og skjøt i mål. Brasilianeren mistet ballen til Ünal, som sendte ballen forbi Thibaut Courtois.",Goal,
104,Med tolv poeng opp til Manchester City blir søndagens møte med Chelsea en potensiell skjebnekamp for Liverpool. Og tallenes tale er klar.,Next game,
105,(Manchester United-Wolves 0–1) Wolves-bauta João Moutinho (35) påførte Ole Gunnar Solskjær-arvtager Ralf Rangnick (63) det første tapet som Manchester United-manager.,Summary,
106,I den niende kampen etter at Solskjær fikk sparken som United-trener tok Moutinho et touch utenfor 16-meteren med åtte minutter igjen på klokken.,Information,
107,"Sonni Nattestad (27) var en legesjekk fra å bli Jerv-spiller, men sier det var hans ønske å trekke seg fra overgangen. Trener Arne Sandstø mener det var best for alle parter at det ble slik – og sier stopperens rolle i den betente Babacar Sarr-rettssaken hadde innvirkning.",Transfer,
108,"Han har vært nevnt som mulig kandidat til de ledige trenerjobbene både i HamKam og Sarpsborg, men Jørgen Isnes (42) avviste begge da de tok kontakt. ",Rumor,
109,Det bekrefter KFUM-treneren selv overfor VG. Ifølge Isnes tok begge eliteserieklubbene kontakt med ham og spurte om han ønsket å være på deres kandidatlister. Begge fikk nei som svar.,Statement,
110,(Chelsea-Tottenham 2–0) Antonio Contes gjensyn med Stamford Bridge ble et lite mareritt. ,Summary,
111,Genoa skal ifølge VGs opplysninger se på muligheten for å hente Vikings stjernespiss Veton Berisha (27) til den italienske kystbyen.,Rumor,
112,Etter det VG forstår skal Serie A-klubben ha undersøkt hva det vil kunne koste å kjøpe storscoreren fri fra kontrakten med Viking og hvilke lønnsbetingelser som eventuelt kan bli gjeldende.,Rumor,
113,Pål Bjerketvedts tid som generalsekretær i Norges Fotballforbund går mot slutten. Det har 61-åringen allerede varslet kolleger og president Terje Svendsen om.,Information,
114,– Jeg er i tenkeboksen for å bestemme meg for en sluttdato i NFF. Jeg fyller 62 år om tre måneder. Jeg passerer fem år i jobben om noen uker.,Quote,
115,Landslagssjef Ståle Solbakken (53) på dugnad blir løsningen på trenerløse HamKams første oppkjøringsdager før returen til Eliteserien.,Information,
116,Det bekreftet Solbakken overfor TV 2 onsdag.,Non-informative,
117,Erling Braut Haaland ryktes til de største klubbene i verden. Her er ekspertenes spådom om hvor han ender til slutt.,Clickbait,
118,Store europeiske medier spekulerer i Haalands fremtid.,Non-informative,
119,"Erik Huseklepp (37) mener han har fått drømmejobben som assistenttrener i Brann, men skjønner skeptikerne og forstår de spillerne som eventuelt reagerer på hans nye rolle. ",Statement,
120,"– For meg er det å jobbe i Brann drømmen. Jeg har spilt der i ti år, og har fjerde mest kamper i klubbens historie. Som supporter har jeg fulgt Brann siden jeg var fem-seks år, sier Huseklepp til VG. ",Quote,
121,Stefan Billborn (49) er mannen som presenteres som ny Sarpsborg-trener fredag. Ifølge Joacim Jonsson bør det bety en slags ny kurs i Østfold-klubben.,Statement,
122,"Det får VG opplyst fra informert hold, og er også i tråd med hva TV 2 meldte onsdag. Sarpsborg har invitert til pressekonferanse fredag der den nye hovedtreneren etter Lars Bohinen presenteres.",Non-informative,
123,Newcastles nye eiere har større økonomiske muskler enn de øvrige Premier League-klubbene til sammen. Nå er saudiaraberne på spillerjakt med penger fra kongeriket.,Non-informative,
124,Den første spilleren som blir hentet til St. James’ Park er den engelske landslagsbacken Kieran Trippier.,Transfer,
125,Christian Eriksen (29) drømmer om å spille i Qatar-VM mot slutten av året. Ståle Solbakken mener det beviser at den danske stjernen er gjennom det heftigste mentale hinderet etter hjertestansen.,Commentary,
126,I et intervju med DR gjorde Eriksen det klart at hans kollaps mot Finland i Danmarks første kamp i EM-sluttspillet denne sommeren ikke skal bli hans siste opptreden for landslaget.,Statement,
127,"De presset Manchester United i kampen om det første Premier League-trofeet og slo ut Bayern München av UEFA-cupen høsten etter. Så rykket Norwich City ned, og har siden byttet divisjon 12 (!) ganger - og brukt 22 managere ...",Information,
128,"Historien om Norwich City fra East Anglia, sørøst i England, er beviset på at du kan kjempe med de beste, hvis du gjør det meste riktig. Men klubben er også et tegn i tiden: ",Statement,
